Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
01-JUL-2015,16.9275,17.1,15.7175,15.845,16.9275,-1.08,-6.39
02-JUL-2015,15.845,16.0775,15.1625,15.5575,15.845,-0.29,-1.81
03-JUL-2015,15.5575,16.3875,14.785,16.305,15.5575,0.75,4.80
06-JUL-2015,16.305,17.045,15.89,16.0175,16.305,-0.29,-1.76
07-JUL-2015,16.0175,16.565,15.215,16.3075,16.0175,0.29,1.81
08-JUL-2015,16.3075,18.375,15.4425,17.79,16.3075,1.48,9.09
09-JUL-2015,17.79,18.075,16.2875,17.4375,17.79,-0.35,-1.98
10-JUL-2015,17.4375,17.6325,16.2375,17.07,17.4375,-0.37,-2.11
13-JUL-2015,17.07,17.7175,15.5725,16.2725,17.07,-0.80,-4.67
14-JUL-2015,16.2725,16.615,14.695,16.01,16.2725,-0.26,-1.61
15-JUL-2015,16.01,16.03,14.185,15.5675,16.01,-0.44,-2.76
16-JUL-2015,15.5675,15.5675,14.2975,14.7825,15.5675,-0.79,-5.04
17-JUL-2015,14.7825,15.135,13.285,14.8025,14.7825,0.02,0.14
20-JUL-2015,14.8025,15.6175,12.7325,14.96,14.8025,0.16,1.06
21-JUL-2015,14.96,15.3075,13.0125,15.0975,14.96,0.14,0.92
22-JUL-2015,15.0975,15.3525,13.5025,15.13,15.0975,0.03,0.22
23-JUL-2015,15.13,15.74,13.1,15.52,15.13,0.39,2.58
24-JUL-2015,15.52,15.93,12.07,15.4575,15.52,-0.06,-0.40
27-JUL-2015,15.4575,17.0525,12.925,16.37,15.4575,0.91,5.90
28-JUL-2015,16.37,16.57,15.5925,15.915,16.37,-0.46,-2.78
29-JUL-2015,15.915,16.34,14.13,15.8775,15.915,-0.04,-0.24
30-JUL-2015,15.8775,15.8775,14.66,15.325,15.8775,-0.55,-3.48
31-JUL-2015,15.325,15.58,14.5,14.57,15.325,-0.76,-4.93
03-AUG-2015,14.57,15.645,14.28,15.39,14.57,0.82,5.63
04-AUG-2015,15.39,15.695,14.28,14.83,15.39,-0.56,-3.64
05-AUG-2015,14.83,14.8825,13.6875,14.665,14.83,-0.17,-1.11
06-AUG-2015,14.665,15.0075,12.89,14.73,14.665,0.07,0.44
07-AUG-2015,14.73,15.065,13.17,14.91,14.73,0.18,1.22
10-AUG-2015,14.91,15.6225,14.2425,15.465,14.91,0.56,3.72
11-AUG-2015,15.465,16.0925,13.5525,15.8925,15.465,0.43,2.76
12-AUG-2015,15.8925,17.7175,14.785,17.445,15.8925,1.55,9.77
13-AUG-2015,17.445,17.445,16.245,17.0175,17.445,-0.43,-2.45
14-AUG-2015,17.0175,17.0175,15.135,16.02,17.0175,-1.00,-5.86
17-AUG-2015,16.02,17.2025,15.29,16.4625,16.02,0.44,2.76
18-AUG-2015,16.4625,16.6625,15.1,16.36,16.4625,-0.10,-0.62
19-AUG-2015,16.36,16.9925,14.9475,16.68,16.36,0.32,1.96
20-AUG-2015,16.68,17.205,15.465,16.975,16.68,0.30,1.77
21-AUG-2015,16.975,18.73,15.19,17.115,16.975,0.14,0.82
24-AUG-2015,17.115,30.6525,17.115,28.13,17.115,11.02,64.36
25-AUG-2015,28.13,35.57,26.0825,26.8475,28.13,-1.28,-4.56
26-AUG-2015,26.8475,29.05,23.53,25.515,26.8475,-1.33,-4.96
27-AUG-2015,25.515,25.515,21.515,22.0425,25.515,-3.47,-13.61
28-AUG-2015,22.0425,23.6725,19.8025,23.33,22.0425,1.29,5.84
31-AUG-2015,23.33,24.7375,22.6775,24.595,23.33,1.27,5.42
01-SEP-2015,24.595,30.4375,24.4425,28.7175,24.595,4.12,16.76
02-SEP-2015,28.7175,28.7175,26.375,26.65,28.7175,-2.07,-7.20
03-SEP-2015,26.65,26.65,23.7175,24.115,26.65,-2.54,-9.51
04-SEP-2015,24.115,27.2525,23.415,26.4225,24.115,2.31,9.57
07-SEP-2015,26.4225,26.825,24.5075,26.35,26.4225,-0.07,-0.27
08-SEP-2015,26.35,26.435,23.8375,24.5675,26.35,-1.78,-6.76
09-SEP-2015,24.5675,24.6575,21.3525,24.3,24.5675,-0.27,-1.09
10-SEP-2015,24.3,25.835,24.0175,24.745,24.3,0.45,1.83
11-SEP-2015,24.745,25.26,23.26,24.975,24.745,0.23,0.93
14-SEP-2015,24.975,25.265,23.455,24.32,24.975,-0.66,-2.62
15-SEP-2015,24.32,24.5575,22.695,23.7425,24.32,-0.58,-2.37
16-SEP-2015,23.7425,23.7425,21.6025,21.9975,23.7425,-1.75,-7.35
18-SEP-2015,21.9975,21.9975,17.8775,18.2925,21.9975,-3.71,-16.84
21-SEP-2015,18.2925,18.92,16.9925,18.1775,18.2925,-0.12,-0.63
22-SEP-2015,18.1775,21.2475,17.2125,20.345,18.1775,2.17,11.92
23-SEP-2015,20.345,22.19,19.77,20.6875,20.345,0.34,1.68
24-SEP-2015,20.6875,21.5675,19.3825,20.8825,20.6875,0.20,0.94
28-SEP-2015,20.8825,22.2375,20.77,21.6675,20.8825,0.79,3.76
29-SEP-2015,21.6675,23.6325,20.4425,21.57,21.6675,-0.10,-0.45
30-SEP-2015,21.57,21.57,19.3725,19.625,21.57,-1.95,-9.02
01-OCT-2015,19.625,20.11,18.235,19.235,19.625,-0.39,-1.99
05-OCT-2015,19.235,19.4575,18.0625,19.1275,19.235,-0.11,-0.56
06-OCT-2015,19.1275,19.9,17.385,19.305,19.1275,0.18,0.93
07-OCT-2015,19.305,19.7375,17.8975,19.3375,19.305,0.03,0.17
08-OCT-2015,19.3375,19.93,17.3525,19.5625,19.3375,0.23,1.16
09-OCT-2015,19.5625,19.685,17.685,18.925,19.5625,-0.64,-3.26
12-OCT-2015,18.925,19.985,17.185,19.1225,18.925,0.20,1.04
13-OCT-2015,19.1225,19.22,17.8475,18.015,19.1225,-1.11,-5.79
14-OCT-2015,18.015,18.28,15.7575,17.72,18.015,-0.30,-1.64
15-OCT-2015,17.72,17.72,14.855,17.17,17.72,-0.55,-3.10
16-OCT-2015,17.17,17.1825,14.03,16.275,17.17,-0.90,-5.21
19-OCT-2015,16.275,17.0725,15.3025,16.8775,16.275,0.60,3.70
20-OCT-2015,16.8775,17.175,14.525,16.995,16.8775,0.12,0.70
21-OCT-2015,16.995,17.425,13.6625,16.6225,16.995,-0.37,-2.19
23-OCT-2015,16.6225,16.6225,14.65,16.1925,16.6225,-0.43,-2.59
26-OCT-2015,16.1925,17.8225,15.005,17.23,16.1925,1.04,6.41
27-OCT-2015,17.23,17.295,15.995,16.535,17.23,-0.70,-4.03
28-OCT-2015,16.535,17.4775,15.555,17.04,16.535,0.51,3.05
29-OCT-2015,17.04,17.9475,14.7175,17.5825,17.04,0.54,3.18
30-OCT-2015,17.5825,18.325,16.8825,17.88,17.5825,0.30,1.69
02-NOV-2015,17.88,20.13,17.3775,19.4775,17.88,1.60,8.93
03-NOV-2015,19.4775,19.9575,18.07,19.555,19.4775,0.08,0.40
04-NOV-2015,19.555,19.6325,17.95,19.355,19.555,-0.20,-1.02
05-NOV-2015,19.355,19.7375,18.34,19.2925,19.355,-0.06,-0.32
06-NOV-2015,19.2925,19.5875,16.615,19.4725,19.2925,0.18,0.93
09-NOV-2015,19.4725,19.4725,15.99,17.04,19.4725,-2.43,-12.49
10-NOV-2015,17.04,17.0625,15.2975,16.825,17.04,-0.22,-1.26
11-NOV-2015,16.825,16.9475,14.5325,16.905,16.825,0.08,0.48
13-NOV-2015,16.905,17.7225,15.795,17.6525,16.905,0.75,4.42
