Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
02-JUL-2018,12.9375,13.9425,12.465,13.37,12.9375,0.43,3.34
03-JUL-2018,13.37,13.7525,12.1875,13,13.37,-0.37,-2.77
04-JUL-2018,13,13.34,12.575,12.6575,13,-0.34,-2.63
05-JUL-2018,12.6575,12.9525,11.225,12.575,12.6575,-0.08,-0.65
06-JUL-2018,12.575,12.68,11.6675,12.4425,12.575,-0.13,-1.05
09-JUL-2018,12.4425,12.575,11.215,12.39,12.4425,-0.05,-0.42
10-JUL-2018,12.39,12.52,11.0175,12.395,12.39,0.01,0.04
11-JUL-2018,12.395,12.86,10.015,12.775,12.395,0.38,3.07
12-JUL-2018,12.775,12.865,10.6525,12.505,12.775,-0.27,-2.11
13-JUL-2018,12.505,12.505,11.3175,12.3025,12.505,-0.20,-1.62
16-JUL-2018,12.3025,13.0475,11.1675,12.9475,12.3025,0.65,5.24
17-JUL-2018,12.9475,12.9475,11.24,12.825,12.9475,-0.12,-0.95
18-JUL-2018,12.825,13.9,10.645,13.6825,12.825,0.86,6.69
19-JUL-2018,13.6825,13.7975,10.99,13.5925,13.6825,-0.09,-0.66
20-JUL-2018,13.5925,13.9025,11.3175,13.535,13.5925,-0.06,-0.42
23-JUL-2018,13.535,13.62,12.0675,13.005,13.535,-0.53,-3.92
24-JUL-2018,13.005,13.08,12.1475,12.4675,13.005,-0.54,-4.13
25-JUL-2018,12.4675,13.255,11.215,12.2075,12.4675,-0.26,-2.09
26-JUL-2018,12.2075,13.0475,11.6075,12.0275,12.2075,-0.18,-1.47
27-JUL-2018,12.0275,12.5,11.2475,12.31,12.0275,0.28,2.35
30-JUL-2018,12.31,13.0575,12.3075,12.585,12.31,0.28,2.23
31-JUL-2018,12.585,12.795,12.2875,12.48,12.585,-0.11,-0.83
01-AUG-2018,12.48,12.765,11.9975,12.53,12.48,0.05,0.40
02-AUG-2018,12.53,12.8,10.8875,12.555,12.53,0.03,0.20
03-AUG-2018,12.555,12.555,10.9075,12.0775,12.555,-0.48,-3.80
06-AUG-2018,12.0775,12.735,11.85,12.5625,12.0775,0.49,4.02
07-AUG-2018,12.5625,12.82,10.5825,12.5775,12.5625,0.02,0.12
08-AUG-2018,12.5775,12.7825,10.48,12.54,12.5775,-0.04,-0.30
09-AUG-2018,12.54,12.76,10.8775,12.6775,12.54,0.14,1.10
10-AUG-2018,12.6775,12.985,10.0575,12.85,12.6775,0.17,1.36
13-AUG-2018,12.85,13.5,11.29,13.4,12.85,0.55,4.28
14-AUG-2018,13.4,13.42,10.755,13.2825,13.4,-0.12,-0.88
16-AUG-2018,13.2825,13.865,11.465,13.645,13.2825,0.36,2.73
17-AUG-2018,13.645,13.645,10.3025,13.16,13.645,-0.49,-3.55
20-AUG-2018,13.16,13.55,11.345,13.0325,13.16,-0.13,-0.97
21-AUG-2018,13.0325,13.635,9.9275,12.9025,13.0325,-0.13,-1.00
23-AUG-2018,12.9025,13.1175,9.53,12.7575,12.9025,-0.15,-1.12
24-AUG-2018,12.7575,12.8375,9.43,12.4075,12.7575,-0.35,-2.74
27-AUG-2018,12.4075,12.5325,9.515,12.2375,12.4075,-0.17,-1.37
28-AUG-2018,12.2375,12.6,10.3775,12.425,12.2375,0.19,1.53
29-AUG-2018,12.425,12.6725,10.725,12.435,12.425,0.01,0.08
30-AUG-2018,12.435,12.625,10.6225,12.4125,12.435,-0.02,-0.18
31-AUG-2018,12.4125,12.7975,11.6,12.5975,12.4125,0.19,1.49
03-SEP-2018,12.5975,13.7175,11.17,13.3925,12.5975,0.80,6.31
04-SEP-2018,13.3925,13.88,12.1975,13.7825,13.3925,0.39,2.91
05-SEP-2018,13.7825,14.1525,11.9525,13.65,13.7825,-0.13,-0.96
06-SEP-2018,13.65,14.2,12.06,13.7225,13.65,0.07,0.53
07-SEP-2018,13.7225,14.1425,11.085,13.89,13.7225,0.17,1.22
10-SEP-2018,13.89,15.315,12.61,15.2025,13.89,1.31,9.45
11-SEP-2018,15.2025,15.4475,13.4425,15.33,15.2025,0.13,0.84
12-SEP-2018,15.33,15.33,12.98,14.25,15.33,-1.08,-7.05
14-SEP-2018,14.25,14.25,12.3225,13.8425,14.25,-0.41,-2.86
17-SEP-2018,13.8425,14.635,11.73,14.495,13.8425,0.65,4.71
18-SEP-2018,14.495,14.62,11.8725,14.415,14.495,-0.08,-0.55
