k,lambda,n_switches,mean_self_persistence,min_self_persistence,median_run_length,min_run_length,state_counts
2,0.0,307,0.9198180745892577,0.908929627439385,5.0,1,"{0: 2209, 1: 1691}"
2,10.0,57,0.9853806608941658,0.9851129363449692,41.0,6,"{0: 1952, 1: 1948}"
2,30.0,30,0.99229675606302,0.9920339883165162,112.0,23,"{0: 1883, 1: 2017}"
2,50.0,26,0.9933093428696791,0.9929232444202504,112.0,25,"{0: 1837, 1: 2063}"
2,100.0,20,0.9948684782688807,0.9947671376242805,146.0,40,"{0: 1911, 1: 1989}"
2,200.0,10,0.9969213281290961,0.9956634865568084,245.0,95,"{0: 2746, 1: 1154}"
3,0.0,517,0.8612671002100677,0.820615796519411,4.0,1,"{0: 1399, 1: 1754, 2: 747}"
3,10.0,80,0.9745567821546587,0.9590909090909091,32.0,4,"{0: 1644, 1: 1816, 2: 440}"
3,30.0,49,0.9832495210989061,0.9709443099273608,64.0,15,"{0: 1734, 1: 1753, 2: 413}"
3,50.0,31,0.9916168422152496,0.9903614457831326,89.5,23,"{0: 1753, 1: 415, 2: 1732}"
3,100.0,21,0.9950297217358791,0.9943214082907439,135.0,40,"{0: 1761, 1: 255, 2: 1884}"
3,200.0,10,0.9970315644969645,0.9959448499594485,254.0,97,"{0: 2079, 1: 587, 2: 1234}"
4,0.0,587,0.8460521676153312,0.8209640397857689,3.0,1,"{0: 1217, 1: 769, 2: 1308, 3: 606}"
4,10.0,90,0.9740043122527124,0.9608294930875576,26.0,4,"{0: 1517, 1: 681, 2: 1268, 3: 434}"
4,30.0,52,0.9836349801283307,0.9707865168539326,56.0,14,"{0: 1464, 1: 533, 2: 1458, 3: 445}"
4,50.0,44,0.9861068413141592,0.9772151898734177,66.0,15,"{0: 1670, 1: 457, 2: 1378, 3: 395}"
4,100.0,22,0.9926942795950416,0.9880952380952381,134.0,38,"{0: 1733, 1: 292, 2: 168, 3: 1707}"
4,200.0,11,0.9934155482561124,0.9830508474576272,230.5,59,"{0: 2422, 1: 258, 2: 59, 3: 1161}"
5,0.0,683,0.8280279066391143,0.7893639207507821,3.0,1,"{0: 674, 1: 741, 2: 1148, 3: 378, 4: 959}"
5,10.0,109,0.9675108692226093,0.9543010752688172,23.0,4,"{0: 1297, 1: 372, 2: 621, 3: 1184, 4: 426}"
5,30.0,57,0.9830400735281689,0.9698492462311558,55.5,11,"{0: 695, 1: 956, 2: 413, 3: 1438, 4: 398}"
5,50.0,50,0.9841366610033472,0.9711286089238845,66.0,13,"{0: 1534, 1: 598, 2: 219, 3: 1168, 4: 381}"
5,100.0,25,0.9926212620340447,0.9879518072289156,126.5,46,"{0: 976, 1: 296, 2: 848, 3: 166, 4: 1614}"
5,200.0,11,0.9937395560108724,0.9830508474576272,225.5,59,"{0: 2057, 1: 368, 2: 248, 3: 59, 4: 1168}"
