cutoff_a,cutoff_b,mapping,is_identity,ret_a,ret_b
2011-03-31,2011-06-30,"{0: 0, 1: 1, 2: 2}",True,"[0.00466, -0.00016, -0.00199]","[9e-05, -0.00016, -0.00204]"
2011-06-30,2011-09-30,"{0: 0, 1: 1, 2: 2}",True,"[9e-05, -0.00016, -0.00204]","[0.00016, -0.00016, -0.00231]"
2011-09-30,2011-12-30,"{0: 0, 1: 1, 2: 2}",True,"[0.00016, -0.00016, -0.00231]","[0.00246, 8e-05, -0.00251]"
2011-12-30,2012-03-30,"{0: 0, 1: 1, 2: 2}",True,"[0.00246, 8e-05, -0.00251]","[0.00219, -0.00091, -0.00144]"
2012-03-30,2012-06-29,"{0: 0, 1: 1, 2: 2}",True,"[0.00219, -0.00091, -0.00144]","[0.00441, -0.00073, -0.00134]"
2012-06-29,2012-09-28,"{0: 0, 1: 2, 2: 1}",False,"[0.00441, -0.00073, -0.00134]","[0.00231, -0.00125, -0.00062]"
2012-09-28,2012-12-31,"{0: 0, 1: 2, 2: 1}",False,"[0.00231, -0.00125, -0.00062]","[0.00124, 0.0004, -0.00166]"
2012-12-31,2013-03-28,"{0: 1, 1: 0, 2: 2}",False,"[0.00124, 0.0004, -0.00166]","[0.0004, 0.00061, -0.00166]"
2013-03-28,2013-06-28,"{0: 0, 1: 1, 2: 2}",True,"[0.0004, 0.00061, -0.00166]","[0.00072, 0.00066, -0.00187]"
2013-06-28,2013-09-30,"{0: 0, 1: 1, 2: 2}",True,"[0.00072, 0.00066, -0.00187]","[0.00067, 0.00076, -0.00192]"
2013-09-30,2013-12-31,"{0: 0, 1: 1, 2: 2}",True,"[0.00067, 0.00076, -0.00192]","[0.00076, 0.00076, -0.00192]"
2013-12-31,2014-03-31,"{0: 0, 1: 1, 2: 2}",True,"[0.00076, 0.00076, -0.00192]","[0.00062, 0.00099, -0.00192]"
2014-03-31,2014-06-30,"{0: 1, 1: 0, 2: 2}",False,"[0.00062, 0.00099, -0.00192]","[0.00163, 0.00045, -0.0018]"
2014-06-30,2014-09-30,"{0: 0, 1: 1, 2: 2}",True,"[0.00163, 0.00045, -0.0018]","[0.00146, 0.00061, -0.00192]"
2014-09-30,2014-12-31,"{0: 0, 1: 1, 2: 2}",True,"[0.00146, 0.00061, -0.00192]","[0.00129, 0.00046, -0.00181]"
2014-12-31,2015-03-31,"{0: 0, 1: 1, 2: 2}",True,"[0.00129, 0.00046, -0.00181]","[0.00115, 0.00063, -0.00193]"
2015-03-31,2015-06-30,"{0: 0, 1: 1, 2: 2}",True,"[0.00115, 0.00063, -0.00193]","[0.00132, 0.0004, -0.00191]"
2015-06-30,2015-09-30,"{0: 0, 1: 1, 2: 2}",True,"[0.00132, 0.0004, -0.00191]","[0.00132, 0.00041, -0.002]"
2015-09-30,2015-12-31,"{0: 0, 1: 1, 2: 2}",True,"[0.00132, 0.00041, -0.002]","[0.00132, 0.00037, -0.00201]"
2015-12-31,2016-03-31,"{0: 0, 1: 1, 2: 2}",True,"[0.00132, 0.00037, -0.00201]","[0.00132, 0.00045, -0.0021]"
2016-03-31,2016-06-30,"{0: 0, 1: 1, 2: 2}",True,"[0.00132, 0.00045, -0.0021]","[0.00132, 0.00051, -0.00208]"
2016-06-30,2016-09-30,"{0: 0, 1: 1, 2: 2}",True,"[0.00132, 0.00051, -0.00208]","[0.00131, 0.00047, -0.0021]"
2016-09-30,2016-12-30,"{0: 0, 1: 1, 2: 2}",True,"[0.00131, 0.00047, -0.0021]","[0.00133, 0.00032, -0.00209]"
2016-12-30,2017-03-31,"{0: 0, 1: 1, 2: 2}",True,"[0.00133, 0.00032, -0.00209]","[0.00139, 0.00033, -0.00209]"
2017-03-31,2017-06-30,"{0: 0, 1: 1, 2: 2}",True,"[0.00139, 0.00033, -0.00209]","[0.00133, 0.00034, -0.0021]"
2017-06-30,2017-09-29,"{0: 0, 1: 1, 2: 2}",True,"[0.00133, 0.00034, -0.0021]","[0.00125, 0.00035, -0.0021]"
2017-09-29,2017-12-29,"{0: 0, 1: 1, 2: 2}",True,"[0.00125, 0.00035, -0.0021]","[0.00121, 0.00035, -0.00209]"
2017-12-29,2018-03-28,"{0: 0, 1: 1, 2: 2}",True,"[0.00121, 0.00035, -0.00209]","[0.00123, 0.00025, -0.0021]"
2018-03-28,2018-06-29,"{0: 0, 1: 1, 2: 2}",True,"[0.00123, 0.00025, -0.0021]","[0.0012, 0.00026, -0.0021]"
2018-06-29,2018-09-28,"{0: 0, 1: 1, 2: 2}",True,"[0.0012, 0.00026, -0.0021]","[0.00116, 0.00026, -0.0021]"
2018-09-28,2018-12-31,"{0: 0, 1: 1, 2: 2}",True,"[0.00116, 0.00026, -0.0021]","[0.00119, 0.00031, -0.00224]"
2018-12-31,2019-03-29,"{0: 0, 1: 1, 2: 2}",True,"[0.00119, 0.00031, -0.00224]","[0.00123, 0.00029, -0.00224]"
2019-03-29,2019-06-28,"{0: 0, 1: 1, 2: 2}",True,"[0.00123, 0.00029, -0.00224]","[0.00118, 0.00029, -0.00224]"
2019-06-28,2019-09-30,"{0: 0, 1: 1, 2: 2}",True,"[0.00118, 0.00029, -0.00224]","[0.00118, 0.00023, -0.00224]"
2019-09-30,2019-12-31,"{0: 0, 1: 1, 2: 2}",True,"[0.00118, 0.00023, -0.00224]","[0.00119, 0.00024, -0.00224]"
2019-12-31,2020-03-31,"{0: 0, 1: 1, 2: 2}",True,"[0.00119, 0.00024, -0.00224]","[0.00122, 0.00021, -0.00305]"
2020-03-31,2020-06-30,"{0: 0, 1: 1, 2: 2}",True,"[0.00122, 0.00021, -0.00305]","[0.00124, 3e-05, -0.002]"
