interior_ari,edge_ari,passed,model,cutoff_a,gap,cutoff_b
1.0,1.0,True,jm,2016-12-31,3mo,2017-03-31
0.9931306358192621,1.0,True,jm,2016-12-31,6mo,2017-06-30
1.0,1.0,True,jm,2018-12-31,3mo,2019-03-29
1.0,1.0,True,jm,2018-12-31,6mo,2019-06-28
1.0,0.5679151223786575,False,jm,2020-06-30,3mo,2020-09-30
0.9983894830999597,0.5679151223786575,False,jm,2020-06-30,6mo,2020-12-30
0.9595799087103872,0.35591991166928477,False,jm,2022-12-31,3mo,2023-03-31
0.9595799087103872,0.35591991166928477,False,jm,2022-12-31,6mo,2023-06-30
0.9954569953375798,1.0,True,hmm,2016-12-31,3mo,2017-03-31
0.9173179763643181,1.0,True,hmm,2016-12-31,6mo,2017-06-30
0.9949979029252473,1.0,True,hmm,2018-12-31,3mo,2019-03-29
0.9644662264678457,1.0,True,hmm,2018-12-31,6mo,2019-06-28
0.8879201942099789,0.19482651744877616,False,hmm,2020-06-30,3mo,2020-09-30
0.8949499768207385,0.19482651744877616,False,hmm,2020-06-30,6mo,2020-12-30
0.9882322817872303,1.0,True,hmm,2022-12-31,3mo,2023-03-31
0.9896496788277033,1.0,True,hmm,2022-12-31,6mo,2023-06-30
