year,n_train,n_test,train_start,train_end,test_start,test_end,best_iteration
2015,778,248,2010-11-24,2014-01-03,2015-01-01,2015-12-31,1
2016,1026,247,2010-11-24,2015-01-09,2016-01-01,2016-12-30,5
2017,1273,248,2010-11-24,2016-01-08,2017-01-02,2017-12-29,34
2018,1521,246,2010-11-24,2017-01-10,2018-01-01,2018-12-31,6
2019,1767,245,2010-11-24,2018-01-05,2019-01-01,2019-12-31,8
2020,2012,252,2010-11-24,2019-01-04,2020-01-01,2020-12-31,1
2021,2264,246,2010-11-24,2020-01-15,2021-01-01,2021-12-31,25
2022,2510,248,2010-11-24,2021-01-07,2022-01-03,2022-12-30,28
2023,2758,246,2010-11-24,2022-01-11,2023-01-02,2023-12-29,22
2024,3004,248,2010-11-24,2023-01-06,2024-01-01,2024-12-31,14
2025,3252,249,2010-11-24,2024-01-09,2025-01-01,2025-12-31,1
2026,3501,157,2010-11-24,2025-01-10,2026-01-01,2026-08-20,1
